Datei,Zahl_ist,Zahl_vorhersage,Zahl_richtig,Person_ist,Person_vorhersage,Person_richtig,Digit_Confidence,Person_Confidence
Nils_0_20.jpg,0,0,True,Nils,Nils,True,1.0,0.7
Nils_0_21.jpg,0,0,True,Nils,Nils,True,1.0,0.89
Nils_0_22.jpg,0,0,True,Nils,Unbekannt,False,0.91,0.59
Nils_0_23.jpg,0,0,True,Nils,Nils,True,0.6,0.71
Nils_1_20.jpg,1,1,True,Nils,Unbekannt,False,0.92,0.62
Nils_1_21.jpg,1,1,True,Nils,Unbekannt,False,1.0,0.57
Nils_1_22.jpg,1,1,True,Nils,Unbekannt,False,1.0,0.54
Nils_1_23.jpg,1,1,True,Nils,Nils,True,1.0,0.72
Nils_2_20.jpg,2,2,True,Nils,Nils,True,0.84,0.92
Nils_2_21.jpg,2,2,True,Nils,Nils,True,0.85,0.88
Nils_2_22.jpg,2,2,True,Nils,Nils,True,0.8,0.8
Nils_2_23.jpg,2,2,True,Nils,Nils,True,0.93,0.84
Nils_3_20.jpg,3,3,True,Nils,Nils,True,0.96,0.94
Nils_3_21.jpg,3,3,True,Nils,Nils,True,0.69,0.94
Nils_3_22.jpg,3,3,True,Nils,Nils,True,0.98,0.99
Nils_3_23.jpg,3,3,True,Nils,Nils,True,0.93,0.83
Nils_4_20.jpg,4,4,True,Nils,Thanadon,False,0.66,0.76
Nils_4_21.jpg,4,4,True,Nils,Thanadon,False,0.93,0.75
Nils_4_22.jpg,4,4,True,Nils,Thanadon,False,0.95,0.71
Nils_4_23.jpg,4,4,True,Nils,Unbekannt,False,0.53,0.4
Nils_5_20.jpg,5,8,False,Nils,Unbekannt,False,0.31,0.46
Nils_5_21.jpg,5,5,True,Nils,Thanadon,False,0.77,0.86
Nils_5_22.jpg,5,8,False,Nils,Unbekannt,False,0.27,0.48
Nils_5_23.jpg,5,5,True,Nils,Unbekannt,False,0.45,0.67
Nils_6_20.jpg,6,6,True,Nils,Thanadon,False,0.96,0.79
Nils_6_21.jpg,6,6,True,Nils,Thanadon,False,0.99,0.99
Nils_6_22.jpg,6,6,True,Nils,Thanadon,False,0.96,0.85
Nils_6_23.jpg,6,6,True,Nils,Thanadon,False,0.98,0.98
Nils_7_20.jpg,7,7,True,Nils,Nils,True,0.79,0.71
Nils_7_21.jpg,7,7,True,Nils,Nils,True,0.94,0.73
Nils_7_22.jpg,7,7,True,Nils,Nils,True,0.84,0.82
Nils_7_23.jpg,7,7,True,Nils,Nils,True,0.66,0.91
Nils_8_20.jpg,8,8,True,Nils,Unbekannt,False,1.0,0.64
Nils_8_21.jpg,8,8,True,Nils,Thanadon,False,0.54,0.71
Nils_8_22.jpg,8,8,True,Nils,Thanadon,False,1.0,0.94
Nils_8_23.jpg,8,8,True,Nils,Thanadon,False,0.74,0.92
Nils_9_20.jpg,9,9,True,Nils,Unbekannt,False,1.0,0.66
Nils_9_21.jpg,9,9,True,Nils,Nils,True,0.99,0.87
Nils_9_22.jpg,9,9,True,Nils,Nils,True,1.0,0.87
Nils_9_23.jpg,9,9,True,Nils,Unbekannt,False,0.98,0.63
Thanadon_0_20.jpg,0,0,True,Thanadon,Thanadon,True,0.98,1.0
Thanadon_0_21.jpg,0,9,False,Thanadon,Thanadon,True,0.47,1.0
Thanadon_0_22.jpg,0,0,True,Thanadon,Thanadon,True,0.58,1.0
Thanadon_0_23.jpg,0,0,True,Thanadon,Thanadon,True,0.99,1.0
Thanadon_1_20.jpg,1,1,True,Thanadon,Thanadon,True,1.0,1.0
Thanadon_1_21.jpg,1,1,True,Thanadon,Thanadon,True,0.8,1.0
Thanadon_1_22.jpg,1,1,True,Thanadon,Thanadon,True,0.99,1.0
Thanadon_1_23.jpg,1,1,True,Thanadon,Thanadon,True,1.0,1.0
Thanadon_2_20.jpg,2,2,True,Thanadon,Thanadon,True,0.98,1.0
Thanadon_2_21.jpg,2,2,True,Thanadon,Thanadon,True,0.62,1.0
Thanadon_2_22.jpg,2,2,True,Thanadon,Thanadon,True,0.94,1.0
Thanadon_2_23.jpg,2,2,True,Thanadon,Thanadon,True,0.91,1.0
Thanadon_3_20.jpg,3,3,True,Thanadon,Thanadon,True,0.99,1.0
